run_id,seed,arm,persona_id,quadrant,template,status,round,attempt_outcome,feedback_frame,filler_id,generation_seed,candidate_before_count,candidate_before_sha256,candidate_after_count,candidate_after_sha256,frustration_median
persona.high_e_high_n.seed-2001.feedback_only,2001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,1,unsuccessful,valid_feedback,,4469567771656788920,10000,9582c82c0e979ad4740159fd2ec5d74526aeb48ac07bda14b2745a25206ae9f4,3048,8d8a406c2701498bf0a5134fc8d3d2dd3838c787cab23a0c65e571fa2681a630,0.0056805238127708435
persona.high_e_high_n.seed-2001.feedback_only,2001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,2,unsuccessful,valid_feedback,,462000147538888414,3048,8d8a406c2701498bf0a5134fc8d3d2dd3838c787cab23a0c65e571fa2681a630,768,fc8d58a9e3d1f8e19ada2eb0935f356d1fd043e3c6223147b6eb63ab52c33d06,0.016771243885159492
persona.high_e_high_n.seed-2001.feedback_only,2001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,3,unsuccessful,valid_feedback,,7203904594921472573,768,fc8d58a9e3d1f8e19ada2eb0935f356d1fd043e3c6223147b6eb63ab52c33d06,206,3701c51eacc8da4a43acc7def8b9efc78019c15d870b2f7a0f276ba681e765c0,0.016140786930918694
persona.high_e_high_n.seed-2001.feedback_only,2001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,4,unsuccessful,valid_feedback,,7493285141810551950,206,3701c51eacc8da4a43acc7def8b9efc78019c15d870b2f7a0f276ba681e765c0,55,04a95813d7014d7950fe157a956d4387a292572957115ac209f07c7805a04adc,0.013518908061087132
persona.high_e_high_n.seed-2001.feedback_only,2001,feedback_only,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,5,unsuccessful,valid_feedback,,1845676750874802399,55,04a95813d7014d7950fe157a956d4387a292572957115ac209f07c7805a04adc,15,ce5d95544a095d12f3a94473e04ccab55002b524452e073c9d463fb6eb1f422c,0.017345521599054337
persona.high_e_high_n.seed-2001.supportive,2001,supportive,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,1,unsuccessful,valid_feedback,filler.supportive.1,4469567771656788920,10000,9582c82c0e979ad4740159fd2ec5d74526aeb48ac07bda14b2745a25206ae9f4,3048,8d8a406c2701498bf0a5134fc8d3d2dd3838c787cab23a0c65e571fa2681a630,0.003698121989145875
persona.high_e_high_n.seed-2001.supportive,2001,supportive,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,2,unsuccessful,valid_feedback,filler.supportive.2,462000147538888414,3048,8d8a406c2701498bf0a5134fc8d3d2dd3838c787cab23a0c65e571fa2681a630,768,fc8d58a9e3d1f8e19ada2eb0935f356d1fd043e3c6223147b6eb63ab52c33d06,0.016926785930991173
persona.high_e_high_n.seed-2001.supportive,2001,supportive,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,3,unsuccessful,valid_feedback,filler.supportive.3,7203904594921472573,768,fc8d58a9e3d1f8e19ada2eb0935f356d1fd043e3c6223147b6eb63ab52c33d06,206,3701c51eacc8da4a43acc7def8b9efc78019c15d870b2f7a0f276ba681e765c0,0.017059659585356712
persona.high_e_high_n.seed-2001.supportive,2001,supportive,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,4,unsuccessful,valid_feedback,filler.supportive.4,7493285141810551950,206,3701c51eacc8da4a43acc7def8b9efc78019c15d870b2f7a0f276ba681e765c0,55,04a95813d7014d7950fe157a956d4387a292572957115ac209f07c7805a04adc,0.016235942021012306
persona.high_e_high_n.seed-2001.supportive,2001,supportive,persona.high_e_high_n,high_e_high_n,v1,complete_five_failures,5,unsuccessful,valid_feedback,filler.supportive.5,1845676750874802399,55,04a95813d7014d7950fe157a956d4387a292572957115ac209f07c7805a04adc,15,ce5d95544a095d12f3a94473e04ccab55002b524452e073c9d463fb6eb1f422c,0.018218394368886948
